Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-public,0.068104,0.0681,,0.061748,0.061745
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-usr,0.071307,0.071303,,0.064872,0.064868
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-cd,0.066855,0.066851,,0.060202,0.060198
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-cs,0.064857,0.064853,,0.06579,0.065786
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-pi,0.070667,0.070664,,0.07049,0.070486
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-public,0.069644,0.06964,,0.06159,0.061586
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-usr,0.070762,0.070757,,0.071259,0.071255
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-cd,0.0693,0.069296,,0.061431,0.061428
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-cs,0.064711,0.064706,,0.065741,0.065733
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-pi,0.073138,0.073134,,0.070023,0.070019
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-public,0.069161,0.069158,,0.0623,0.062295
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-usr,0.072546,0.072542,,0.072684,0.072681
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-cd,0.067604,0.0676,,0.054176,0.054173
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-cs,0.064173,0.064168,,0.062741,0.062738
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-pi,0.066434,0.066429,,0.065082,0.065078
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-public,0.062827,0.062823,,0.059987,0.059984
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-usr,0.071331,0.071328,,0.057469,0.057466
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-cd,0.060484,0.060481,,0.053901,0.053898
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-cs,0.062114,0.06211,,0.061017,0.061014
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-pi,0.06171,0.061706,,0.06374,0.063737
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-public,0.057675,0.057671,,0.05852,0.058517
